STAFF_ID,SALARY
6839,18995624
9440,20644400
5408,15719063
2024,5607240
1134,14746000
5633,20068563
6953,15719062
4363,15719062
1386,22458401
4379,10629213
2160,17674613
9776,7974482
9575,5000000
3372,14728844
5234,13500000
3463,2568360
3767,12000000
3547,15000000
5541,16006000
8325,7500000
5834,10361446
2866,21436271
4366,12100000
4204,7238606
5408,12000000
1856,15937290
3409,7070730
7040,8694216
4334,7000000
4316,12700000
7757,2249768
1012,9500000
3620,12350000
1533,0
2503,14746000
7766,2894059
2909,9000000
2296,7128000
9719,15012000
7880,1618680
3613,20644400
6323,1357080
9238,11595506
6090,12950000
5845,12500000
2126,8491500
8028,23410988
2326,0
6384,2751260
9499,3842105
3473,3340920
1168,5375000
4240,2500000
3469,2989239
8646,11265416
3137,10100000
8681,19317326
5995,16500000
1257,4250000
2959,15829688
1999,11440123
4448,0
4205,1987320
9228,19754465
5891,6124729
5432,10434782
3678,967500
5382,12000000
4043,915243
7778,5450000
1280,2000000
6982,10404495
9425,8000000
6524,12972973
2216,4800000
2843,9704545
4619,4051527
8297,8360000
8517,3272091
8567,5305000
7179,4650000
8085,6792500
3676,9410869
2301,3553917
4941,1413480
8113,9250000
5906,3500000
8741,2380594
9685,3000000
9375,915243
2589,14846888
4260,1424520
5021,6792500
7664,5381750
4446,1794871
7801,3000000
3940,14746000
3383,4797664
8648,3678360
8381,915243
7193,4994420
6608,7500000
1570,8000000
3290,0
7426,4205000
7768,981084
4609,3911981
3196,14700000
3970,915243
7781,8579089
1752,11765500
1159,3034356
3919,5305000
1840,7245640
5451,5694674
5766,8000000
4277,4831461
9810,2106720
2173,2300040
4209,23180790
9489,7000000
3980,2204369
1372,1703760
1807,4660479
2428,0
5196,0
5285,12909090
7438,2075760
2709,816482
1896,0
4988,7097191
7441,9714461
8610,3657500
4418,2873750
4259,2077000
8432,5000000
8756,6900000
1735,5138430
4207,14898938
9180,2943221
1758,6000000
8120,1023261
6095,9000000
5261,5831326
3993,3878896
2338,981084
3676,1169880
1102,11500000
1673,5305000
9777,3251000
2547,2915908
1549,0
7466,3368100
9257,4505280
7089,3075880
2260,8374646
5208,5450000
4178,3326235
1548,6400000
3457,3678360
7363,7500000
3442,13500000
3862,4062000
4866,4000000
1968,0
6242,8374646
5795,7000000
7758,915243
5691,5200000
6918,11000000
3428,5982375
8502,3200000
9978,2442455
3432,4650000
3061,4025000
5424,2732000
5934,7900000
5151,1500000
3608,5305000
5229,5450000
4914,0
3520,12289544
6744,4978200
2836,2008748
4529,6253521
8273,14898938
4376,2732000
2987,2202000
2316,4868499
2313,4500000
8276,8000000
9571,12000000
2007,3873398
2102,3000000
5545,5700000
7391,0
8624,8579088
5553,981084
4378,9200000
4544,915243
8712,6000000
3105,4030560
1918,2077000
9635,1662961
2565,1210080
5313,3793693
6751,0
6847,7191011
5644,1250640
7040,816482
4420,0
3216,2077000
6176,915243
7043,4702500
5909,0
4462,1650000
7883,915243
4866,2548560
2829,3326235
4032,915243
7691,3250000
5920,3898692
9899,915243
6954,915243
8833,2732000
9596,6757913
7927,3326235
4535,3278000
2471,0
8676,915243
3444,816482
4855,1082000
2126,0
8511,4500000
5878,1825359
3620,0
3962,915243
7928,2793960
1936,5016960
5391,3396250
2765,3000000
3597,8575000
1624,3150000
7078,915243
6628,915243
4947,1887840
1060,3750000
9727,1090000
9848,2242003
3189,1250000
7621,915243
9049,1768653
6470,4519500
8017,2439840
5361,6300000
9937,5381750
1442,6331404
5764,3013512
4962,0
7940,8000000
2749,915243
5676,2184960
7788,0
4948,1828750
8121,6037500
5596,3445947
4738,915243
2873,0
6963,2077000
3249,3000000
5341,2077000
7333,1873200
1430,915243
6844,2732000
9006,1483920
5125,816482
9885,2732000
8931,3000000
2549,4150000
5329,1483920
1337,1112280
7643,3282056
3631,0
7627,4000000
6490,915243
6224,1129200
5198,5958750
8711,10105855
5966,1545840
7234,3049920
7294,816482
8995,5000000
4285,880000
4618,2616975
4625,1227985
1551,816482
9806,1276061
2165,2772480
1661,3457149
4745,0
7336,0
8851,915243
6766,2750000
9678,4250000
7057,2038206
5850,816482
9382,981084
5575,3000000
7419,915243
6095,4382576
4556,7707865
6115,1472400
8527,981084
9130,3026280
4321,0
2611,816482
5403,5850313
8477,1448490
3614,5563920
7051,9654342
6331,915243
6698,1690680
6100,1600000